Name,Power,Bulk,Color1,Color2,Color3,Color4,Trait,Effect1,Effect2,Flavor,Image,Collection Group,Inspirations?,CardSet
Rampant Nettle,2,3,Green,Cyan,Pink,,Quick-Set,Set: May Shove Prev 1 & End Turn,Set: Take 3X  & Play X Cards From Here ,,,,,
Rampant Artillery,2,1,Green,Red,Orange,,Quick-Set,Recycle DP 2 & Wavering: Double,Faceup: Played 3+: Fill +1,,Sparkle,,,
Rampant Kelp,3,2,Green,Pink,Orange,,Canopy Combo,Draw 1 & Stockpile 2 Helds,Wavering: Opp Gift 2/ Bounce 2,,,,,
Mold Infestation,1,1,Green,Yellow,Pink,,Totem,Faceup: POW 2- Double ,Faceup: All Players Drought until Fill Phase,,Goby Wishwashi,,,
Emty Green,,,Green,Orange,,,,,,,,,,
Casting Sky,1,2,Cyan,Blue,Red,Pink,,No Hand: All Players Take # Comboing,Set Opp Hand 1,"Leader of the Castings. When the tide is high, waves will crash down on her adversaries.",,,,
Casting Cirrus,2,4,Cyan,Blue,,,,Stack 3 & Set DP 1,Prev 2H C: 3+ Sets: 1 DMG,A ribbon dancer who helps coordinate the plans of the Castings.,Ribbon Dancer,,,
Casting Stratus,2,5,Cyan,Blue,,,,Shove 2 Borders 1 & Set DP Base 1,Seq 2H C: 2 DMG,A trained assassin who lies in wait launch his ambushes.,Samurai Mafia,,,
Casting Cumulus,1,3,Cyan,Blue,,,,Bounce 1 & Set ED 1,Deluge: Ultimate,"If you're looking for someone, Cumulus knows a guy. He's well connected with every exchange on the Coast.",Pirate,,,
Casting Nimbus,1,1,Cyan,Blue,,,,Set 1 Faceup,6+ In Gate: Detonate 2H C In Prev 2,"A world class agent in infiltration, she's almosts never seen, but always brings company.",City Girl,,,
Jade Orphans,1,3,Cyan,Violet,Orange,Magenta,,Scrounge In Gate 1 Balanced & Opp Recruit 1,Gap 1 &: Ultimate,"Don't underestimate her lonesome. When it all comes together, you better watch your back.",Silver Wolf,,,
Jade Kong,4,4,Cyan,Pink,,,,Latent Every 4th Match In-Gate: 4 DMG,Stockpile 1 Held,4 of a Kind!,Castorice,,,
Hidden Jade,4,4,Cyan,Green,,,Quick-Set,Unload: Pseudo-Pure,Heal # Comboing,They never see it coming and they won't have time to react.,QQ,,,
Jade Pung ,3,3,Cyan,Red,,,All Attack Responsive,Latent Critical: +3 DMG,Shuffle Recycle Base 3,Triple Threat? How about Triple Teamed.,Tribbie,,,
Jade Chow,3,3,Cyan,Violet,,,,Latent Step Prev: Leech,3+ Matches Faceup: Snipe 1 Opp Held,Just reaping the rewards of the sequence.,Seele,,,
Jade Eyes,2,2,Cyan,Magenta,,,,Pair: Recruit 1 & Hive,Shift 1 Faceup 1,We're halfway there now!,Jade,,,
Vaulting Gull,3,3,Cyan,,,,,C Leader: Recall 1,Set 1,,,,,
Jade Ash Winds,2,2,Cyan,Red,Yellow,,,Remise Set 1,Latent Plays In-Gate +1 DMG,,,,,
Casting Floral Iridescence,2,5,Cyan,Pink,Yellow,,,Opp Play< Take 2 & Disarm Non-Gated Effects,Chaining: Bounce 1 Gate 3,,Sundew vs Stratus ,,,
One-Shot Pulse,6,1,Cyan,Pink,Violet,,,6-Card Attack: Opp HP = 1,Hit: Gift 3 Controlled,,,,,
From Beyond the Fog,1,1,Cyan,Violet,,,,Held: 3+ Played: Leech 1,Detonate Prev; The card below this has its effects triggered,,,,,
Dual Strike,2,1,Cyan,Violet,Red,,,Laddering: Double,Set Base,,,,,
Drone Strike,1,5,Cyan,Orange,,,,Mimic ED 1,Parrying: End Phase: Set Self,,,,,
Impending Panic,2,5,Cyan,Orange,Pink,,Double,Reveal Hand & Plays this Turn Parryless,Opp Hand Responsive,,,,,
Empty Cyan,,,Cyan,,,,,,,,,,,
Ocean Carp,2,1,Blue,,,,,B Leader: Shove Opp Hand 1,Sink 1 Gated upto 1,,,,,
Ocean Riser,3,5,Blue,Orange,Red,Green,Quick-Set,Stack Shove 4,Faceup: End Phase: Refresh 2 from 1 Base,,,,,
Rip the Current,3,4,Blue,Magenta,,,Pseudo-Split,Shove 1,Opp BLKs Morph Shoved BLK 1 Round,,,,,
Turn the Tides,4,5,Blue,Red,,,,May Recycle Hand &: Invert,Shut Down 2 Opp Held 1  Turn,,,,,
Call the Storm,2,4,Blue,Cyan,Pink,,Double/ Opp Responsive,Brink/ (Full Home & Sets): Burn Shove All GZs 1,Stockpile Base 2,,,,,
Pace the Nautilus,1,4,Blue,Red,Yellow,,Lag,Deluge: Opp Hand Max = 2,Opp Burn< Recycle Opp Hand 2 & Opp Fillless,,,,,
Rapacious Fortune,2,3,Blue,Orange,Red,,,Beat,Parrying: 2 DMG,,Dim Sum,,,
Rapacious Buffet,2,4,Blue,Magenta,Pink,,,Deluge & Splitting: Stockpile 3 Opp Helds,Faceup: Home +1 BLK,,,,,
Rapacious Satiation,3,5,Blue,Yellow,,,,May Drought 2 &: Invert,Parried : Shut Down 1 Opp Held 1  Turn,,,,,
Rapacious Banquet,1,4,Blue,Pink,,,Totem,Faceup: Plays Beat,Brink: ,,Pecanolith,,,
Trench Abyss,2,4,Blue,Violet,Pink,Magenta,Totem,Deluge: Heal 4,Faceup: Home +3/ +1,,,,,
Trench Atoll,2,3,Blue,Pink,Red,,All Combo Responsive,Sink 1 Gated Base & Recycle 1 Base 1,Faceup: All Players' Foreigns Take 1,,,,,
Eye for an Eye,3,3,Blue,Green,,,,Balanced Entry & Deluge: Draw 2,2nd Opp Parry< Draw All Parries,,,,,
Wandering Vagabond,3,1,Blue,Magenta,Pink,,,Gated: Absolute Entry,Ripped: Heal 2,,,,,
High Hysteria,3,4,Blue,Pink,,,,Faceup: Borders Recoil,Combo Seq: Bounce Combo,,,,,
Trench of Gray,2,5,Blue,Orange,,,Liminal 2,Deluge: Shut Down 3 Opp Helds 1 Turn,Faceup: Recolor Borders Last H,,,,,
Twilight Totality,4,4,Blue,Yellow,,,,Shut Down 1 Border 3,Deluge/ Parried: Scrounge 1 Base 3,,,,,
Clear Mirror,3,3,Blue,Cyan,Yellow,,Makeshift Prev 3,Shove Base to Gated: Send the card at the bottom of this gate to the top of this gate,Copy Prev,,,,,
Consuming Cell,3,2,Blue,Orange,Magenta,,"Liminal 3; If 2 Adjacent Gates form a Pseudo-Pure or Union and this card shares colors with them, you may play this card to combine those 2 gates into 1",Shift 2 Foreigns Home,,,,,,
Ocean Trench,4,5,Blue,Violet,Yellow,,,Home: Burn Shove 1 onto Gate,Parried: Sink Parry 1,,,,,
Weird Death Ball,5,5,Violet,Magenta,Blue,Red,,Gap Opponent 1,Instant Phase: Held: Main Topdeck: Draw 1,Overhand or Underhand? Crash.,,,,
Quaking Stun,5,5,Violet,Magenta,Yellow,,,Shift 1 Foreign 1,Stockpile 1 Base,Time it right and the opponent is hit with the nastiest paralysis.,,,,
Xeric Steppes,4,4,Violet,Magenta,,,Quick-Set,All Players Gap 1,Opp Parry< Shift Parry 1,Sometimes we just need slow down and relax.,,,,
Lethal Overcharge,4,4,Violet,Magenta,Pink,,,Two-Step & Ultimate,Gift 3 Controlled,HOLD ON JUST A LITTLE LONGER!,,,,
Extending Grapple,3,3,Violet,Magenta,Cyan,,,Compound 1,Detonate 1 Comboing,,,,,
Igniting Resonance,3,3,Violet,Magenta,Green,,Double,Draw 1; Add the top card of any draw pile to your hand,,I can already feel the blood pumping.,,,,
Fulgural Spark,3,1,Violet,,,,,V Leader: Leech 1,Gap 1,,,,,
Transcending Flight,5,2,Violet,Yellow,Magenta,Orange,,Held: Play Overpowers Prev: Opp Drought 1,Buffer 1 Opp Held ,,壅,Pinterest,,
Rotting Heart,5,5,Violet,Red,,,Attack Responsive,Shuffle Recycle 1 Opp Held,End Phase: Refresh upto 3: Send 1 card in your Hand to the bottom of the deck. Draw 1 cards.,,,,,
Pele of the Rotting,3,1,Violet,Red,Blue,,,Recycle 1 Opp Held: The Opponent cannot Counter this card.,Deluge: +2 POW,,Caconemobius fori,,,
Thousand Volt Blade,1,5,Violet,Green,,,,"Gap 2 &: Morph POW 1-5: When you play this card, choose a number 1-5, that's this card's POW.",Gap DP 2,,,,,
Veering Lightning,1,5,Violet,Orange,,,,Taking 5+< Reflect,Draw Base DP 2,,zuko,,,
Shining Ladder,2,3,Violet,Yellow,Red,,,Attacks +1 DMG,1 Gated Attacks,,,,,
Heimbreaker Nardrifa,5,1,Violet,Red,Cyan,,,Attack: This card Attacks,Opp Blitz 3,,,,,
Final Frame,3,2,Violet,Pink,,,,6- HP: Leech = HP,-1 Pass & Gap 2,,Walnut Bowling,,,
Turbo Star,4,1,Violet,Yellow,,,Quick-Set,Faceup: Plays Twostep,Faceup: POW 3+ Attack: Block 2 & Gap 1,,,,,
Turbo Impulse,3,3,Violet,Pink,Red,,,TwoStep & Gap 1,Ripped: Attacks +1 DMG,,,,,
Charging Battery,4,2,Violet,Cyan,Green,,Compound 1,1 Held: Fill 5,Bloom 3< Set EDP 1 & Heal 1,,,,,
Charging Ballista,3,1,Violet,Blue,,,,1 Held: Snipe Bounce 1,Parried: Burn 1,,,,,
,,,Violet,,,,,,,,,,,
Checkered King,3,3,Magenta,Green,Orange,Yellow,,Held: BLK 3's Psuedo-Split,3+ Faceup X/3's: Shove All Gate Zones 1,Pesticides won't be enough to stop this swarm.,Rhino Beetle,,,
Checkered Queen,9,3,Magenta,Orange,,,,3+ Faceup X/3s: Two-Step,Crossing: Shift 1 Border 2,"And when the world needed her least, she appeared.",Bee,,,
Checkered Wazir,2,3,Magenta,Red,Violet,,,Border Shift 1,Crossing: Gap Opponent 2,Wazir practices death by 1000 jabs.,Centipede,,,
Checkered Knight,3,3,Magenta,Green,Orange,,Pseudo-Split,Stockpile 2 Held &: Draw Opp EDP 1,Crossing: Steal 1,He can come at you from any angle.,Praying Mantis,,,
Checkered Ferz,2,3,Magenta,Blue,Yellow,,,Diagonal Shift 1,Crossing: Burn Shove 1,She can Drive right past you and you wouldn't notice.,Wheel Bug,,,
Checkered Pawn,1,3,Magenta,Blue,Cyan,,,Renew 1,Faceup: X/3 Played: Double,One promotion away from world domination.,Ant,,,
Delivery Ghost,2,3,Magenta,,,,,M Leader: Heal 1,Shift 1 Gateds 1,,,,,
Delivery Pangolin,2,3,Magenta,Orange,,,,"Shift 2 Borders 1 Border; Move a bordering card that's
on top of a gate, to a Gate Zone bordering it.",Reclaim & Opp Scrounge 1;,,,,,
Delivery Pigeon,2,1,Magenta,Green,,,Hive,"Faceup: Shifts +1 DMG; While this card is 
on top of a gate, shifted cards can deal +1 DMG.",Shift 1 Faceup 1 Twice: Choose any card on the top of a Gate and move it onto another Gate 1 spot away. ,,,,,
Delivery Fatigue,2,1,Magenta,Yellow,,,,Border Shift 1,Tour 5: Opp Drought 4 & Buffer Opp 2,,Exhaust/ Zheng He,,,
Festering Enoki,4,4,Magenta,Blue,Red,Cyan,,Shove Recruit 1,Swarm: Shuffle Recycle this Gate,,,,,
Festering Oryzae,2,4,Magenta,Pink,Green,,Pseudo-Pure,Stockpile 1 Base 2,Swarm: Draw 2 & Double,,,,,
Festering Sunburst ,1,1,Magenta,Blue,Orange,,,Reflect 3,Swarm/ Deluge: Shove Opp ED 1,,,,,
Festering Nidularia,1,2,Magenta,Red,,,,Underdog / Brim Reflect,Swarm: Blitz Base 1,,,,,
Festering Armillaria,2,5,Magenta,Cyan,,,Double,Plays Pseudo-Pure This Turn,Swarm: Mimic All Gateds,,,,,
Phantom Aspect,1,1,Magenta,Red,,,,Rebuild onto Border,Faceup: Card Leaves Column: 1 DMG,,,,,
Phantom Call,,,Magenta,,,,,All Gateds Border Shift 1,,,,,,
Mothrenasoyisuh,2,2,Magenta,Green,Violet,,Hive,Draw 1 / Splitting: Draw 3,Crossing: All POWs +1 This Turn,,,,,
Starfruit Showers,2,4,Magenta,Violet,Cyan,,,Attack on All Other Gates,Crossing: Detonate,,Shooting Starfruit,,,
Empty Magenta,,,Magenta,,,,,,,,,,,
Floral Torch Ginger,1,5,Pink,Yellow,Green,Magenta,,Buffer 1 Held,Held: Hit: Play 1 Response Unconditionally ,"Under her guidance, her followers can reach their fullest potential.",,,,
Floral Plum Blossom,3,5,Pink,Blue,Red,,,Two-Step,Opp 3+ Card Combo< Opp Combo Attacks & Stack Combo,She can get just a bit jealous sometimes.,,,,
Floral Sundew,3,3,Pink,Yellow,Red,,,Faceup: Recolor Borders H2+,Hit< Recycle Buffer 1,"She might not look it, but she's the most welcoming of the Florals.",,,,
Floral White Lotus,1,4,Pink,,,,Totem,Gift 2 Controlled,Faceup: Response: All Players Take 1,In her introspection she knows that it is our union that makes us stronger.,,,,
Floral Rangoon Creeper,2,2,Pink,Green,,,,Heal 3,Bloom 3< Take 3 & Fill,"If you're down in your luck, Rangoon is always there to lend a hand.",,,,
Floral Hibiscus,1,2,Pink,Orange,,,,Take 4/ Gift EDP 1,Parrying< Steal 1,"She may not be easily approachable, but she's definitely not selfish.",,,,
Wilting Petal,1,1,Pink,,,,,Pink Leader: Stockpile 1,Take 1,,,,,
Wilting Aftershock,,,Pink,Orange,Blue,Violet,Quick-Set,Take 5 & +1 Init,Faceup: Brink: Plays Two-Step,,,,,
Wilting Succession,3,5,Pink,Red,,,,All Players Take 1,Brink: Draw EDP 3,,,,,
,4,,Pink,Cyan,Green,,,Stockpile 3 & Draw 1,20 Controlled:,,,,,
Paradise Lovesick Loop,2,4,Pink,Blue,,,,Recoil,Opp Play< Take 3 & Bounce Play,,kion dojima,,,
Paradise Flourish,1,3,Pink,Blue,Violet,,,Brink: Burn DP = Opp HP - HP,Opp Play< Swap Play Top DP,,,,,
Paradise By the Seaside,3,2,Pink,Orange,Violet,,,Take 4 & Block All Next Turn,Opp Play< Parry Opp Play & Take Play's BLK,,,,,
Barnacle Rock,1,4,Pink,Green,,,Heavy; Cannot be moved by Effect,Take X 1-4 &: Draw X,Wavering: ,,,,,
Unstable Titan,2,5,Pink,Violet,,,,Take 3 &: Attack,Ripped: Leech 2,,,,,
Vagabond Paradise,4,3,Pink,Blue,Red,,,Take 4 & +1 Init,Opp Play< Refresh Hand,,,,,
Vagabond Titan,5,5,Pink,Violet,Red,,Totem ,Stockpile 1 Held,Faceup: Passing: Twostep Attack,,,,,
Parting Perfect Memory,3,1,Pink,Cyan,,,,Mimic Gift 1,Ripped: Double,,,,,
Perfect Harvest,2,3,Pink,Green,,,,Gift 1 & Fragile: Heal 2,Ripped: Renew 2,,,,,
Perfect Game,3,5,Pink,Magenta,Green,,Quick-Gap,BLK Attack,Ripped: Shove 1 Foreign 1,,Erwin AOT,,,
